url,name,from,to,pos,ht,wt,dob,college,active
/players/a/abdelal01.html,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University,False
/players/a/abdulza01.html,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University,False
/players/a/abdulka01.html,Kareem Abdul-Jabbar*,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles",False
/players/a/abdulma01.html,Mahdi Abdul-Rahman,1965,1974,G,6-2,185,"April 15, 1942","University of California, Los Angeles",False
/players/a/abdulma02.html,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University,False
/players/a/abdulta01.html,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University,False
/players/a/abdursh01.html,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California,False
/players/a/abernto01.html,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University,False
/players/a/ablefo01.html,Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University,False
/players/a/abramjo01.html,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University,False
/players/a/ackeral01.html,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University,False
/players/a/ackerdo01.html,Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University,False
/players/a/acresma01.html,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University,False
/players/a/actonbu01.html,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College,False
/players/a/acyqu01.html,Quincy Acy,2013,2015,F,6-7,233,"October 6, 1990",Baylor University,True
/players/a/adamsal01.html,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma,False
/players/a/adamsdo01.html,Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University,False
/players/a/adamsge01.html,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University,False
/players/a/adamsha01.html,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona,False
/players/a/adamsjo01.html,Jordan Adams,2015,2015,G,6-5,220,"July 8, 1994","University of California, Los Angeles",True
/players/a/adamsmi01.html,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College,False
/players/a/adamsst01.html,Steven Adams,2014,2015,C,7-0,250,"July 28, 1993",University of Pittsburgh,True
/players/a/addisra01.html,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University,False
/players/a/adelmri01.html,Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University,False
