url,name,lg,from,to,years,games,wins,losses,wlpercent,playoffs,div,conf,champ,defunct
/teams/ATL/,Atlanta Hawks,NBA,1950,2015,66,5193,2584,2609,.498,43,10,0,1,0
/teams/BOS/,Boston Celtics,NBA/BAA,1947,2015,69,5363,3152,2211,.588,51,30,9,17,0
/teams/NJN/,Brooklyn Nets,NBA/ABA,1968,2015,48,3861,1696,2165,.439,25,5,2,2,0
/teams/CHA/,Charlotte Hornets,NBA,1989,2015,25,1969,857,1112,.435,9,0,0,0,0
/teams/CHI/,Chicago Bulls,NBA,1967,2015,49,3937,2053,1884,.521,33,9,6,6,0
/teams/CLE/,Cleveland Cavaliers,NBA,1971,2015,45,3612,1649,1963,.457,18,3,1,0,0
/teams/DAL/,Dallas Mavericks,NBA,1981,2015,35,2792,1424,1368,.510,19,3,2,1,0
/teams/DEN/,Denver Nuggets,NBA/ABA,1968,2015,48,3863,1932,1931,.500,33,10,0,0,0
/teams/DET/,Detroit Pistons,NBA/BAA,1949,2015,67,5255,2560,2695,.487,40,11,5,3,0
/teams/GSW/,Golden State Warriors,NBA/BAA,1947,2015,69,5358,2489,2869,.465,30,7,1,3,0
/teams/HOU/,Houston Rockets,NBA,1968,2015,48,3856,1990,1866,.516,28,4,4,2,0
/teams/IND/,Indiana Pacers,NBA/ABA,1968,2015,48,3862,1969,1893,.510,31,9,1,3,0
/teams/LAC/,Los Angeles Clippers,NBA,1971,2015,45,3611,1393,2218,.386,10,2,0,0,0
/teams/LAL/,Los Angeles Lakers,NBA/BAA,1949,2015,67,5255,3210,2045,.611,60,32,18,16,0
/teams/MEM/,Memphis Grizzlies,NBA,1996,2015,20,1560,634,926,.406,7,0,0,0,0
/teams/MIA/,Miami Heat,NBA,1989,2015,27,2134,1106,1028,.518,18,11,5,3,0
/teams/MIL/,Milwaukee Bucks,NBA,1969,2015,47,3774,1936,1838,.513,27,13,2,1,0
/teams/MIN/,Minnesota Timberwolves,NBA,1990,2015,26,2052,812,1240,.396,8,1,0,0,0
/teams/NOH/,New Orleans Pelicans,NBA,2003,2015,13,1018,480,538,.472,5,1,0,0,0
/teams/NYK/,New York Knicks,NBA/BAA,1947,2015,69,5361,2662,2699,.497,42,8,4,2,0
/teams/OKC/,Oklahoma City Thunder,NBA,1968,2015,48,3856,2064,1792,.535,27,10,4,1,0
/teams/ORL/,Orlando Magic,NBA,1990,2015,26,2055,1018,1037,.495,14,5,2,0,0
/teams/PHI/,Philadelphia 76ers,NBA,1950,2015,66,5191,2709,2482,.522,47,11,5,3,0
/teams/PHO/,Phoenix Suns,NBA,1969,2015,47,3776,2089,1687,.553,29,6,2,0,0
/teams/POR/,Portland Trail Blazers,NBA,1971,2015,45,3610,1930,1680,.535,30,4,3,1,0
/teams/SAC/,Sacramento Kings,NBA/BAA,1949,2015,67,5253,2419,2834,.460,29,5,0,1,0
/teams/SAS/,San Antonio Spurs,NBA/ABA,1968,2015,48,3862,2294,1568,.594,42,20,6,5,0
/teams/TOR/,Toronto Raptors,NBA,1996,2015,20,1561,663,898,.425,6,2,0,0,0
/teams/UTA/,Utah Jazz,NBA,1975,2015,41,3282,1754,1528,.534,25,8,2,0,0
/teams/WAS/,Washington Wizards,NBA,1962,2015,54,4338,1948,2390,.449,26,7,4,1,0
/teams/AND/,Anderson Packers,NBA,1950,1950,1,64,37,27,.578,1,0,0,0,1
/teams/BLB/,Baltimore Bullets,NBA/BAA,1948,1955,8,450,158,292,.351,3,0,0,1,1
/teams/CHS/,Chicago Stags,NBA/BAA,1947,1950,4,237,145,92,.612,4,1,0,0,1
/teams/CLR/,Cleveland Rebels,BAA,1947,1947,1,60,30,30,.500,1,0,0,0,1
/teams/DNN/,Denver Nuggets,NBA,1950,1950,1,62,11,51,.177,0,0,0,0,1
/teams/DTF/,Detroit Falcons,BAA,1947,1947,1,60,20,40,.333,0,0,0,0,1
/teams/INJ/,Indianapolis Jets,BAA,1949,1949,1,60,18,42,.300,0,0,0,0,1
/teams/INO/,Indianapolis Olympians,NBA,1950,1953,4,269,132,137,.491,4,1,0,0,1
/teams/KEN/,Kentucky Colonels,ABA,1968,1976,9,744,448,296,.602,9,2,0,1,1
/teams/MMS/,Memphis Sounds,ABA,1968,1975,8,660,275,385,.417,4,1,0,0,1
/teams/PTC/,Pittsburgh Condors,ABA,1968,1972,5,408,180,228,.441,2,1,0,1,1
/teams/PIT/,Pittsburgh Ironmen,BAA,1947,1947,1,60,15,45,.250,0,0,0,0,1
/teams/PRO/,Providence Steam Rollers,BAA,1947,1949,3,168,46,122,.274,0,0,0,0,1
/teams/SDS/,San Diego Sails,ABA,1973,1976,4,263,101,162,.384,2,0,0,0,1
/teams/SHE/,Sheboygan Red Skins,NBA,1950,1950,1,62,22,40,.355,1,0,0,0,1
/teams/SSL/,Spirits of St. Louis,ABA,1968,1976,9,744,334,410,.449,5,1,0,0,1
/teams/STB/,St. Louis Bombers,NBA/BAA,1947,1950,4,237,122,115,.515,3,1,0,0,1
/teams/FLO/,The Floridians,ABA,1968,1972,5,408,189,219,.463,4,0,0,0,1
/teams/TRH/,Toronto Huskies,BAA,1947,1947,1,60,22,38,.367,0,0,0,0,1
/teams/UTS/,Utah Stars,ABA,1968,1976,9,676,366,310,.541,6,3,0,1,1
/teams/VIR/,Virginia Squires,ABA,1968,1976,9,743,326,417,.439,6,2,0,1,1
/teams/WSC/,Washington Capitols,NBA/BAA,1947,1951,5,271,157,114,.579,4,2,0,0,1
/teams/WAT/,Waterloo Hawks,NBA,1950,1950,1,62,19,43,.306,0,0,0,0,1
