name,salary
"Kobe Bryant",25244493
"Kevin Garnett",21247044
"Tim Duncan",21164619
"Rashard Lewis",21136631
"Gilbert Arenas",19269307
"Dirk Nowitzki",19092873
"Pau Gasol",18714150
"Carmelo Anthony",18518574
"Vince Carter",18300000
"Amar'e Stoudemire",18217705
"Dwight Howard",18091770
"Joe Johnson",18038573
"Elton Brand",17059727
"Chris Paul",16359805
"Deron Williams",16359805
"Brandon Roy",16032144
"Chris Bosh",16022500
"LeBron James",16022500
"Dwyane Wade",15691000
"Kevin Durant",15506632
"Paul Pierce",15333334
"Zach Randolph",15200000
"Antawn Jamison",15076715
"Rudy Gay",15032144
"Andrew Bynum",14900000
"Chris Kaman",14030000
"Al Jefferson",14000000
"Baron Davis",13900000
"Andre Iguodala",13531750
"Carlos Boozer",13500000
"Tyson Chandler",13107837
"Nene Hilario",13000000
"Manu Ginobili",12981038
"Marc Gasol",12922194
"Emeka Okafor",12541812
"Richard Hamilton",12500000
"Tony Parker",12500000
"Josh Smith",12400000
"LaMarcus Aldridge",12372000
"Luol Deng",12325000
"Chauncey Billups",12199968
"Danny Granger",12015904
"Andrew Bogut",12000000
"Al Horford",12000000
"Joakim Noah",12000000
"Steve Nash",11689062
"David Lee",11610000
