season_desc,total_money,cnt,average
2014-15,1794108666,297,6040769
2013-14,1803293848,310,5817076
2012-13,1958633292,410,4777154
2011-12,1972641820,459,4297694
2010-11,1840226824,392,4694456
2009-10,1758097315,335,5248051
2008-09,1595785720,289,5521749
2007-08,1349996505,253,5335954
2006-07,1087543981,223,4876878
2005-06,892377002,198,4506954
2004-05,648822815,161,4029955
2003-04,492202902,130,3786176
2002-03,362998536,100,3629985
2001-02,266517951,80,3331474
2000-01,201894656,55,3670811
1999-00,142273679,44,3233492
1998-99,81164520,31,2618210
1997-98,48359193,19,2545220
1996-97,33393500,14,2385250
1995-96,14020000,6,2336666
1994-95,6829800,3,2276600
