team,variance
"Atlanta Hawks",15525618665703.197
"Boston Celtics",22073241331232.418
"Brooklyn Nets",14011229000814.863
"Charlotte Hornets",11129816708879.066
"Chicago Bulls",13833076369632.605
"Cleveland Cavaliers",16214689175834.896
"Dallas Mavericks",27208203961261.5
"Denver Nuggets",16540337480188.06
"Detroit Pistons",15772809501521.229
"Golden State Warriors",12763840191966.969
"Houston Rockets",13665510154895.797
"Indiana Pacers",16082538997846.943
"Los Angeles Clippers",9791462355277.664
"Los Angeles Lakers",26615905657352.77
"Memphis Grizzlies",13118095332229.645
"Miami Heat",15470111235412.42
"Milwaukee Bucks",14590371233762.42
"Minnesota Timberwolves",16539818480837.275
"New Orleans Pelicans",13895039649139.83
"New York Knicks",33611791637913.113
"Oklahoma City Thunder",12579067560110.416
"Orlando Magic",21520906546458.934
"Philadelphia 76ers",18387625826634.016
"Phoenix Suns",18994074752284.01
"Portland Trail Blazers",23521468363661.82
"Sacramento Kings",16375904815886.668
"San Antonio Spurs",15227804811493.525
"Toronto Raptors",14174544263981.871
"Utah Jazz",17293256420680.146
"Washington Wizards",13577950279336.777
