name,season,avg_experiance,variance
"Atlanta Hawks",2001-02,3.94,451.48
"Atlanta Hawks",2002-03,4.48,670.9
"Atlanta Hawks",2003-04,4.04,595.67
"Atlanta Hawks",2004-05,6.05,4143.02
"Atlanta Hawks",2005-06,2.8,311.38
"Atlanta Hawks",2006-07,3.05,349.68
"Atlanta Hawks",2007-08,3.88,825.98
"Atlanta Hawks",2008-09,3.8,514.56
"Atlanta Hawks",2009-10,5.79,2360.53
"Atlanta Hawks",2010-11,6,2256.72
"Atlanta Hawks",2011-12,7.94,7108.97
"Boston Celtics",2001-02,4.31,790.09
"Boston Celtics",2002-03,5.88,2596.48
"Boston Celtics",2003-04,4.47,1027.7
"Boston Celtics",2004-05,4.53,1568.8
"Boston Celtics",2005-06,3,257.78
"Boston Celtics",2006-07,3.25,467.95
"Boston Celtics",2007-08,6.67,4525.32
"Boston Celtics",2008-09,5.56,2627.75
"Boston Celtics",2009-10,6,3691.42
"Boston Celtics",2010-11,6.86,5400.83
"Boston Celtics",2011-12,7.29,6460.24
"Brooklyn Nets",2001-02,3.44,411
"Brooklyn Nets",2002-03,5.2,1626.74
"Brooklyn Nets",2003-04,6.21,3050.45
"Brooklyn Nets",2004-05,5.82,2862.55
"Brooklyn Nets",2005-06,5.71,2568.44
"Brooklyn Nets",2006-07,4.67,1985.26
"Brooklyn Nets",2007-08,5.25,1592.5
"Brooklyn Nets",2008-09,4.2,846.72
"Brooklyn Nets",2009-10,5,1432.44
"Brooklyn Nets",2010-11,4.5,1012.5
"Brooklyn Nets",2011-12,4.36,913.98
"Charlotte Hornets",2001-02,5.47,1977.16
"Charlotte Hornets",2004-05,3.37,463.43
"Charlotte Hornets",2005-06,2.63,140.13
"Charlotte Hornets",2006-07,4.39,1110.44
"Charlotte Hornets",2007-08,5.27,1809.81
"Charlotte Hornets",2008-09,4.04,812.63
"Charlotte Hornets",2009-10,6,2668
"Charlotte Hornets",2010-11,5.47,2009.27
"Charlotte Hornets",2011-12,4.5,1240
"Chicago Bulls",2001-02,3.56,854.33
"Chicago Bulls",2002-03,3.27,408.21
"Chicago Bulls",2003-04,4.71,1892.88
"Chicago Bulls",2004-05,3.47,650.19
"Chicago Bulls",2005-06,3.11,444.72
"Chicago Bulls",2006-07,3.79,741.92
"Chicago Bulls",2007-08,3.58,679.71
"Chicago Bulls",2008-09,4.84,1493.45
"Chicago Bulls",2009-10,4.61,1393.33
"Chicago Bulls",2010-11,5.27,1753.1
"Chicago Bulls",2011-12,5.79,2089.1
"Cleveland Cavaliers",2001-02,4.33,992.46
"Cleveland Cavaliers",2002-03,3.57,731.76
"Cleveland Cavaliers",2003-04,3.62,328.27
"Cleveland Cavaliers",2004-05,4.63,1394.25
"Cleveland Cavaliers",2005-06,4.59,1103.17
"Cleveland Cavaliers",2006-07,5.93,2802.13
"Cleveland Cavaliers",2007-08,5.52,2194.89
"Cleveland Cavaliers",2008-09,5.25,2312.58
"Cleveland Cavaliers",2009-10,5.11,2331.52
"Cleveland Cavaliers",2010-11,4.05,1044.96
"Cleveland Cavaliers",2011-12,3.24,705.71
"Dallas Mavericks",2001-02,5.65,2687.7
"Dallas Mavericks",2002-03,5.59,2025.66
"Dallas Mavericks",2003-04,5.86,2108.06
"Dallas Mavericks",2004-05,5.19,1721.38
"Dallas Mavericks",2005-06,5.06,1796.59
