TeamName,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02
"Atlanta Hawks",29.31,27.47,26.57,25.13,25.13,24.63,24.13,28,26.7,27.38,26.67
"Boston Celtics",28.24,27.9,28,26.81,28.47,24.75,24.94,26.2,26.47,28.06,25.94
"Brooklyn Nets",26.09,25.82,26.53,25.53,27.4,26.67,27.94,28.45,28.42,27.93,26.13
"Charlotte Hornets",26.19,26.84,27.26,25.92,27.47,26.94,25.06,25.47,NULL,NULL,28.27
"Chicago Bulls",28,27.47,26.94,26.58,25.37,26,25.58,26.07,27.24,25.13,25.28
"Cleveland Cavaliers",25.19,26.21,27.06,26.75,27.74,27.47,26.59,26.31,25.05,24.36,25.87
"Dallas Mavericks",29.44,28.44,29.33,27.75,28.2,28.31,27.31,27.44,28.07,28.76,28.05
"Denver Nuggets",25.76,27.21,27.62,28,27.06,26.72,27.74,27.12,26.07,25.29,27.67
"Detroit Pistons",27.07,27.23,26.86,27.4,27.89,28.33,27.47,28.35,28.29,29,28.13
"Golden State Warriors",25.7,25.82,26.35,24.29,25.5,24.9,24.6,26.39,27.94,25.19,26.13
"Houston Rockets",25.79,25.85,25.95,28.18,27.43,27.47,28.1,29.74,28.94,25.6,26.43
"Indiana Pacers",26.6,26.13,26.47,26.71,26.25,26.63,27.25,27.5,26.47,26,25
"Los Angeles Clippers",27.22,26.24,27.05,26.89,27.7,26.89,27.22,26.56,26.35,25.33,25.69
"Los Angeles Lakers",27.76,29.06,27.62,26.25,26.05,25.71,25.35,26.06,28.29,27.43,27.6
"Memphis Grizzlies",26.53,25.47,25,24.8,25.16,26.33,27.38,25.67,25.63,24.41,26.65
"Miami Heat",28.44,30.29,27.33,26.28,27.23,28.38,27.59,28.18,26.71,26.43,28.18
"Milwaukee Bucks",25.76,27.29,27.74,27.82,26.5,25,27.13,28,26.5,27.63,28.64
"Minnesota Timberwolves",24.87,23.76,25.06,26.59,26.13,26.71,26.28,28.86,28.76,28,27.63
"New Orleans Pelicans",25.45,26.58,27.81,29.13,27.69,25.87,26.05,26.55,29.69,28.69,NULL
"New York Knicks",26.88,25.95,25.8,26.09,25.93,25.8,26.58,27.53,28.45,28.54,29.86
"Oklahoma City Thunder",26.13,25.17,25.17,25.65,27,25.88,26.11,26,25.93,26.88,26
"Orlando Magic",26.63,28.41,27.83,27.88,26.94,26,26.67,27.11,25.76,26.76,28.71
"Philadelphia 76ers",26.13,26.53,26.25,27.38,25.93,26.39,25.82,27.06,27.57,28.44,27.21
"Phoenix Suns",28.54,27.68,26.87,27.11,29.13,29.14,26.94,25.33,25.74,26.29,26.63
"Portland Trail Blazers",26.72,27.44,25.79,24.2,23.86,24.71,25.06,25.71,26.29,28.73,28.73
"Sacramento Kings",24.4,24.75,25.35,26.81,27,27.2,26.63,27.39,28.77,27.5,27.07
"San Antonio Spurs",26.95,27.45,28.12,28.7,29.14,29.44,29.4,28.41,28.06,29.53,28.87
"Toronto Raptors",26.78,25.68,25.67,26.32,27.35,25.82,27.82,27.13,27.83,27.37,28.24
"Utah Jazz",26.13,26.29,24.67,25.67,25.27,25,25.13,25.76,25.94,29.54,28.79
"Washington Wizards",26.05,25.91,27.21,26.82,26.23,26.25,26.53,25.5,26.12,27.25,26.36
