TeamName,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02
"Atlanta Hawks",7.94,6,5.79,3.8,3.88,3.05,2.8,6.05,4.04,4.48,3.94
"Boston Celtics",7.29,6.86,6,5.56,6.67,3.25,3,4.53,4.47,5.88,4.31
"Brooklyn Nets",4.36,4.5,5,4.2,5.25,4.67,5.71,5.82,6.21,5.2,3.44
"Charlotte Hornets",4.5,5.47,6,4.04,5.27,4.39,2.63,3.37,NULL,NULL,5.47
"Chicago Bulls",5.79,5.27,4.61,4.84,3.58,3.79,3.11,3.47,4.71,3.27,3.56
"Cleveland Cavaliers",3.24,4.05,5.11,5.25,5.52,5.93,4.59,4.63,3.62,3.57,4.33
"Dallas Mavericks",8.19,7.33,7.78,6.38,6.7,6.38,5.06,5.19,5.86,5.59,5.65
"Denver Nuggets",4.29,5.68,6,6.29,5.29,5.17,5.53,4.82,3.87,3.1,5.19
"Detroit Pistons",4.64,6.15,5.29,5.8,5.84,6.8,5.88,6.06,5.53,6,5.13
"Golden State Warriors",4.1,3.94,4.15,3.12,4.22,3.2,3.4,4.67,5.61,2.94,3.67
"Houston Rockets",3.79,3.55,3.24,5.47,4.57,5.2,5.43,7.09,6.24,3.07,4
"Indiana Pacers",4.47,4.2,4.27,4.36,4,3.95,5.31,5.25,5.13,4.67,3.67
"Los Angeles Clippers",5.56,4.35,5.42,5.21,5.45,5.21,4.89,3.89,4.41,3.2,3.5
"Los Angeles Lakers",6.59,7.94,6.69,5.25,4.74,4.71,4.29,4.38,6.12,5.86,5.67
"Memphis Grizzlies",4.47,3.42,3.06,3.47,3.58,4.17,4.88,3.53,3.5,2,4.41
"Miami Heat",6.38,8.76,5.67,4.17,4.77,6.38,5.53,6.24,4.41,3.43,5.47
"Milwaukee Bucks",4.47,5.76,5.42,5.65,4.29,2.94,4.8,5.28,4.38,5.06,6
"Minnesota Timberwolves",3.73,2.65,3.56,4.35,4.31,4.5,4.17,6.64,6.29,5.71,4.94
"New Orleans Pelicans",2.77,4.26,5.38,6.67,5.25,3.6,3.74,3.91,6.75,6.56,NULL
"New York Knicks",5.53,4.4,4.95,5.04,4.93,4.53,5.11,6.37,6.68,6,7.36
"Oklahoma City Thunder",4.63,4.06,3.44,4.2,4.71,3.63,4.11,3.6,3.57,4.47,3.25
"Orlando Magic",5.44,7.24,6.42,6.13,5.44,4.8,5.28,4.83,3.9,4.71,6.88
"Philadelphia 76ers",4.38,5.2,4.94,6.23,3.93,4.5,3.65,5,5,5.5,4.37
"Phoenix Suns",7,5.42,4.93,5.17,6.94,6.64,4.72,3.83,4.47,4.86,4.84
"Portland Trail Blazers",5.22,5,4.32,3,2.79,2.76,3.88,3.71,4.29,6.2,6.53
"Sacramento Kings",3.07,2.69,3.15,4.57,5.11,5.6,5.25,5.28,6.85,5.57,5.07
"San Antonio Spurs",4.38,4.55,6.24,5.7,6.05,6.13,6.07,5.94,5.35,6.47,6.47
"Toronto Raptors",4.67,3.73,4.47,4.37,4.47,3.35,4.88,4.94,5.17,3.79,5.18
"Utah Jazz",4.87,4.65,3.27,4.47,3.67,2.93,3.07,3.06,3.11,7.46,6.5
"Washington Wizards",4.1,3.52,4.79,4.88,4.54,4.25,3.67,3.94,3.88,5.38,4.5
