TeamName,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02
"Atlanta Hawks",4604369.5,5104988.79,4705974.43,4544589.4,4269317.92,2556945.89,2862970.2,2566226,4606952.86,3095086.06,3220325.44
"Boston Celtics",5321368.67,5860419.07,5968012.43,6091459.46,5322103.93,3314814.68,3347488.24,3798668,4012394.33,4042168.85,3167711.8
"Brooklyn Nets",3264061.75,3899732.6,3492159.71,4177768.2,3254537.42,3793300.59,4153084.38,3665598.67,3352480.16,3775807.44,4177428.44
"Charlotte Hornets",3860134.93,3696816.44,4905839.86,3698054.47,3583031.2,2468473.29,2230595.47,1495161.13,NULL,NULL,2777746.94
"Chicago Bulls",4967746.21,4195236.62,4100021.12,4866198.14,3710833.29,3422181.5,3362737.06,2727434.71,3468112.31,2619476.18,2505462.18
"Cleveland Cavaliers",3604199.94,3175883.59,4905796.12,5706139.56,5481172.2,4199515.27,3420264.13,3278351.6,2886654.5,3307363.2,3043331.6
"Dallas Mavericks",5727954.54,5338118.13,6351148.21,5590915.24,6355929.94,4426592.3,4922741.6,5406379,5302448.2,4052239.78,2898004
"Denver Nuggets",3903544.87,4858520.71,5352538.43,4674733.53,5184889.19,4367851.73,3766144.8,3073450.6,2462415.38,2584695.21,3203557.35
"Detroit Pistons",4728240.33,4367854.73,4012388.87,5494936.46,4118679.69,3688184.44,3726204.69,3422655.06,3562855.6,2986118,2827845.13
"Golden State Warriors",3622170.65,4561022.4,3439598.53,3745357.28,3270963.32,3250618.4,4079611.86,3662914.87,2965372.67,2983607.19,3405796.57
"Houston Rockets",3563859.69,4821043.6,3627103.74,4311898.35,3883006.33,3546531.44,3297971.62,3767768.94,3258907.65,3136327.44,3073010.56
"Indiana Pacers",3682434.5,4068039.38,4170828.56,4354301.13,4417349.73,3506609.17,4924486.19,3477093.68,3877082.4,3819451.64,3559908.07
"Los Angeles Clippers",3960787.59,3326583.06,3423133.83,3303379.26,3814585,2818144.67,3021096.76,3248804.64,2444647.69,2386432.06,2115620.75
"Los Angeles Lakers",5516529.88,6530581.43,7029081.85,5588985.21,5187628.29,4818746.81,4289290.88,4337273.2,4274872.33,4510798.71,3617467.8
"Memphis Grizzlies",4414250.44,4131843.76,3015130.21,2945165.68,2848343.47,3644734.65,3972090.47,3941813.53,3586145.19,3588774.82,3394708.73
"Miami Heat",4941163.87,3678103.06,4947200.87,4393566.19,4398094.29,3220815.6,3374025.11,3720220.56,2785257.29,3825221.73,3334449.13
"Milwaukee Bucks",4012825.87,4063334.71,4173475.13,4197685.65,4171434.8,3342027.26,3707206.71,2872412.3,3326864.13,4142510.86,3748284.4
"Minnesota Timberwolves",3789622.6,3341320.19,3661962.35,4152821.5,3633889.21,4454711.53,3435010.33,5394108.54,4751469.47,3967920.07,3672918.8
"New Orleans Pelicans",3635611.56,4013572.29,5011701.93,4502053.87,3913124.44,3359311.94,2579851.06,3142937.89,3320013.6,3175634.43,NULL
"New York Knicks",4763005.75,4467770.8,5714005.07,7434126.62,5658242,6176361.37,6664794.63,6410471.19,5261460,5497198.76,5058414.06
"Oklahoma City Thunder",3718856.81,3994463.43,3075718.21,3596926.58,3803836.75,3352166.53,3078336.19,3588086.73,3489831.73,4089806.08,3037115.53
"Orlando Magic",5435176.56,6483628.86,6323147.38,5359459.92,3635373.31,3840444.25,4736548.88,4429683.27,2662548.37,3152209.13,3065600.07
"Philadelphia 76ers",4762312,4922517.57,4634532,4878643.36,4113234.94,4067068.41,4463542.11,3997326.56,3553592.88,4051405.44,3416080.35
"Phoenix Suns",5040036,4123690.88,4352569.6,5437886.29,5486388.38,4389408,2979273.56,2973245.47,4780840.71,3944648.57,3537273.06
"Portland Trail Blazers",4973033.5,4972270.53,3349779.88,4721179.94,4577583.44,4413316.82,3751122.75,4921841.71,5184798,6211509.24,5619523.33
"Sacramento Kings",3496445.43,2829279.06,3553458.84,3844695.11,3170161.25,3572033.94,4831690.38,4754437.54,4883773.29,4694439.73,4224693.23
"San Antonio Spurs",4337221.29,3659069,5667022.07,3778915.94,3686764.37,4376954.67,3973142.13,3166941.53,2904004,3545503.93,3056320.93
"Toronto Raptors",3670869.93,3683823.58,4238902.06,5246212.14,4127648.44,2834193.94,3671287.29,3427987.5,3707837.82,2916221.42,3291072.56
"Utah Jazz",4380673.92,5418235.43,5992103.67,4389427.13,4330605.93,3668492,3824860.13,2901050.67,2171729.63,3183414.31,4049412.46
"Washington Wizards",3692423,3240277.11,4590017.13,4421457.31,4662785.43,3690217.94,3637063.13,3319803.33,3263064.43,2457431.05,2882951.95
